Event ID,Date,Year,Month,Month Number,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-101191,2023-07-26,2023,July,7,30,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Morning (06:00-14:00),OP-1178,N. Horvat,Preventive Maintenance,Calibration,Planned,Scheduled maintenance plan (TPM calendar),187.5,3.12,703.4,3.75,86,Automotive Component,Resolved,5.32,Predictive
DT-101192,2023-07-26,2023,July,7,30,Plant B - Lyon,Line 1,MC-5990,CNC Machine,Afternoon (14:00-22:00),OP-1054,K. Varga,Operator Error,Incorrect Setup,Unplanned,Distraction,8.5,0.14,60.68,7.14,7,Packaging Materials,Resolved,0.23,N/A
DT-101193,2023-07-26,2023,July,7,30,Plant C - Katowice,Line 1,MC-2388,Assembly Robot,Night (22:00-06:00),OP-1016,L. Fischer,Tooling Issue,Mold Damage,Unplanned,Exceeded tool life,152.8,2.55,1713.15,11.21,125,Packaging Materials,Resolved,3.04,Corrective
DT-101194,2023-07-26,2023,July,7,30,Plant A - Stuttgart,Line 2,MC-7849,Packaging Unit,Morning (06:00-14:00),OP-1385,A. Schmidt,Operator Error,Incorrect Setup,Unplanned,Inadequate training,5.2,0.09,21.84,4.2,7,Consumer Electronics,Resolved,0.14,N/A
DT-101195,2023-07-26,2023,July,7,30,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Afternoon (14:00-22:00),OP-1117,F. Rousseau,Software/PLC Error,PLC Program Fault,Unplanned,Network latency,76.2,1.27,311.39,4.09,43,Packaging Materials,Resolved,2.01,Corrective
DT-101196,2023-07-26,2023,July,7,30,Plant A - Stuttgart,Line 1,MC-6890,Press Machine,Morning (06:00-14:00),OP-1104,F. Rousseau,Electrical Failure,Sensor Fault,Unplanned,Corroded contact,45.4,0.76,474.05,10.44,34,Consumer Electronics,Resolved,1.3,Emergency
DT-101197,2023-07-26,2023,July,7,30,Plant C - Katowice,Line 1,MC-5200,Injection Molding,Afternoon (14:00-22:00),OP-1349,T. Weber,Tooling Issue,Mold Damage,Unplanned,Exceeded tool life,39.7,0.66,522.94,13.17,62,Industrial Parts,Resolved,1.07,Corrective
DT-101198,2023-07-26,2023,July,7,30,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Morning (06:00-14:00),OP-1359,H. Zajac,Mechanical Failure,Gearbox Malfunction,Unplanned,Component wear beyond tolerance,139.6,2.33,666.65,4.78,171,Medical Device,Resolved,2.95,Emergency
DT-101199,2023-07-26,2023,July,7,30,Plant D - Bratislava,Line 2,MC-4486,Press Machine,Morning (06:00-14:00),OP-1348,J. Dubois,Mechanical Failure,Belt Breakage,Unplanned,Component wear beyond tolerance,96.3,1.6,1427.93,14.83,73,Packaging Materials,Resolved,2.63,Emergency
DT-101200,2023-07-26,2023,July,7,30,Plant B - Lyon,Line 1,MC-1574,Painting Robot,Morning (06:00-14:00),OP-1199,E. Wagner,Electrical Failure,Control Panel Fault,Unplanned,Faulty relay,138.1,2.3,939.4,6.8,104,Automotive Component,Resolved,3.4,Emergency
DT-101205,2023-07-27,2023,July,7,30,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Morning (06:00-14:00),OP-1323,R. Nagy,Quality Inspection,Calibration Check,Planned,Random audit,71.0,1.18,695.86,9.8,92,Medical Device,Resolved,1.35,Preventive
DT-101206,2023-07-27,2023,July,7,30,Plant C - Katowice,Line 3,MC-4933,Painting Robot,Afternoon (14:00-22:00),OP-1189,N. Horvat,Material Shortage,Raw Material Delay,Unplanned,Inventory planning gap,64.0,1.07,460.59,7.2,36,Medical Device,Resolved,1.4,N/A
DT-101204,2023-07-27,2023,July,7,30,Plant B - Lyon,Line 1,MC-8447,Press Machine,Morning (06:00-14:00),OP-1116,T. Weber,Mechanical Failure,Gearbox Malfunction,Unplanned,Component wear beyond tolerance,63.2,1.05,637.99,10.09,47,Automotive Component,Resolved,1.34,Emergency
DT-101207,2023-07-27,2023,July,7,30,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Morning (06:00-14:00),OP-1395,L. Fischer,Mechanical Failure,Hydraulic Leak,Unplanned,Component wear beyond tolerance,127.4,2.12,1902.97,14.94,91,Medical Device,Resolved,3.53,Emergency
DT-101202,2023-07-27,2023,July,7,30,Plant C - Katowice,Line 2,MC-1687,Injection Molding,Night (22:00-06:00),OP-1223,E. Wagner,Quality Inspection,In-Process Quality Hold,Planned,Dimensional deviation,67.6,1.13,397.19,5.88,106,Consumer Electronics,Resolved,1.83,Preventive
DT-101201,2023-07-27,2023,July,7,30,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Morning (06:00-14:00),OP-1063,B. Klein,Software/PLC Error,Firmware Crash,Unplanned,Network latency,25.8,0.43,121.8,4.72,13,Packaging Materials,Resolved,0.53,Corrective
DT-101203,2023-07-27,2023,July,7,30,Plant C - Katowice,Line 2,MC-5166,Robotic Welder,Afternoon (14:00-22:00),OP-1118,N. Horvat,Changeover,Tooling Changeover,Planned,Scheduled production changeover,66.3,1.1,774.4,11.68,53,Industrial Parts,Resolved,1.16,N/A
DT-101208,2023-07-28,2023,July,7,30,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Morning (06:00-14:00),OP-1386,N. Horvat,Preventive Maintenance,Scheduled Inspection,Planned,Scheduled maintenance plan (TPM calendar),150.2,2.5,1152.32,7.67,113,Consumer Electronics,In Progress,1.95,Preventive
DT-101209,2023-07-28,2023,July,7,30,Plant D - Bratislava,Line 1,MC-1874,Packaging Unit,Morning (06:00-14:00),OP-1152,E. Wagner,Tooling Issue,Die Misalignment,Unplanned,Exceeded tool life,167.3,2.79,1122.95,6.71,214,Industrial Parts,Resolved,4.39,Corrective
DT-101210,2023-07-28,2023,July,7,30,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Night (22:00-06:00),OP-1370,K. Varga,Changeover,Product Changeover,Planned,Scheduled production changeover,52.8,0.88,281.85,5.34,29,Automotive Component,Pending,,N/A
DT-101211,2023-07-28,2023,July,7,30,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Night (22:00-06:00),OP-1132,B. Klein,Changeover,Tooling Changeover,Planned,Scheduled production changeover,79.5,1.32,260.27,3.27,45,Consumer Electronics,Resolved,1.73,N/A
DT-101212,2023-07-28,2023,July,7,30,Plant C - Katowice,Line 1,MC-7146,Packaging Unit,Night (22:00-06:00),OP-1260,L. Fischer,Electrical Failure,Sensor Fault,Unplanned,Voltage spike,49.7,0.83,154.59,3.11,47,Medical Device,Resolved,1.04,Corrective
DT-101213,2023-07-29,2023,July,7,30,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Morning (06:00-14:00),OP-1092,D. Muller,Utility Failure,Compressed Air Loss,Unplanned,Chiller malfunction,177.4,2.96,2203.88,12.42,178,Automotive Component,In Progress,1.96,Emergency
DT-101223,2023-07-30,2023,July,7,30,Plant A - Stuttgart,Line 3,MC-8033,Painting Robot,Afternoon (14:00-22:00),OP-1194,N. Horvat,Software/PLC Error,HMI Communication Loss,Unplanned,Unhandled exception,97.2,1.62,614.06,6.32,59,Industrial Parts,Resolved,1.83,Corrective
DT-101221,2023-07-30,2023,July,7,30,Plant C - Katowice,Line 2,MC-1687,Injection Molding,Night (22:00-06:00),OP-1095,B. Klein,Utility Failure,Power Outage,Unplanned,Grid instability,158.3,2.64,1598.73,10.1,252,Industrial Parts,Pending,,Emergency
DT-101220,2023-07-30,2023,July,7,30,Plant B - Lyon,Line 1,MC-6684,Injection Molding,Afternoon (14:00-22:00),OP-1135,F. Rousseau,Software/PLC Error,SCADA Timeout,Unplanned,Configuration drift,68.3,1.14,721.24,10.56,105,Medical Device,Resolved,1.54,Corrective
DT-101219,2023-07-30,2023,July,7,30,Plant D - Bratislava,Line 2,MC-3594,Painting Robot,Afternoon (14:00-22:00),OP-1397,B. Klein,Utility Failure,Cooling System Failure,Unplanned,Chiller malfunction,229.2,3.82,3304.96,14.42,131,Industrial Parts,In Progress,2.88,Emergency
DT-101222,2023-07-30,2023,July,7,30,Plant A - Stuttgart,Line 1,MC-6890,Press Machine,Afternoon (14:00-22:00),OP-1237,D. Muller,Material Shortage,Component Stockout,Unplanned,Inventory planning gap,212.4,3.54,2117.47,9.97,164,Medical Device,Resolved,3.6,N/A
DT-101217,2023-07-30,2023,July,7,30,Plant B - Lyon,Line 2,MC-1611,Injection Molding,Morning (06:00-14:00),OP-1056,R. Nagy,Preventive Maintenance,Scheduled Inspection,Planned,Scheduled maintenance plan (TPM calendar),38.2,0.64,330.05,8.64,47,Automotive Component,Resolved,1.1,Predictive
DT-101216,2023-07-30,2023,July,7,30,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Night (22:00-06:00),OP-1008,E. Wagner,Material Shortage,Supplier Late Delivery,Unplanned,Inventory planning gap,180.5,3.01,781.67,4.33,103,Automotive Component,Resolved,3.25,N/A
DT-101215,2023-07-30,2023,July,7,30,Plant A - Stuttgart,Line 1,MC-4896,Conveyor System,Morning (06:00-14:00),OP-1116,N. Horvat,Electrical Failure,Control Panel Fault,Unplanned,Voltage spike,25.9,0.43,108.77,4.2,14,Consumer Electronics,Resolved,0.44,Emergency
DT-101214,2023-07-30,2023,July,7,30,Plant A - Stuttgart,Line 2,MC-7849,Packaging Unit,Morning (06:00-14:00),OP-1236,H. Zajac,Electrical Failure,Wiring Short Circuit,Unplanned,Corroded contact,190.4,3.17,839.19,4.41,204,Consumer Electronics,Resolved,4.26,Emergency
DT-101218,2023-07-30,2023,July,7,30,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Afternoon (14:00-22:00),OP-1314,E. Wagner,Tooling Issue,Tool Wear,Unplanned,Material hardness variance,25.1,0.42,169.62,6.76,39,Automotive Component,Resolved,0.75,Corrective
DT-101231,2023-07-31,2023,July,7,31,Plant D - Bratislava,Line 1,MC-1874,Packaging Unit,Night (22:00-06:00),OP-1351,E. Wagner,Preventive Maintenance,Scheduled Lubrication,Planned,Scheduled maintenance plan (TPM calendar),75.9,1.27,169.59,2.23,74,Consumer Electronics,Resolved,1.96,Predictive
DT-101230,2023-07-31,2023,July,7,31,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Morning (06:00-14:00),OP-1347,R. Nagy,Mechanical Failure,Hydraulic Leak,Unplanned,Misalignment,143.1,2.38,717.79,5.02,59,Packaging Materials,Resolved,2.66,Emergency
DT-101228,2023-07-31,2023,July,7,31,Plant C - Katowice,Line 3,MC-7027,Assembly Robot,Night (22:00-06:00),OP-1210,D. Muller,Operator Error,Incorrect Setup,Unplanned,Inadequate training,63.5,1.06,645.62,10.17,62,Consumer Electronics,In Progress,0.68,N/A
DT-101229,2023-07-31,2023,July,7,31,Plant A - Stuttgart,Line 1,MC-6890,Press Machine,Morning (06:00-14:00),OP-1009,M. Novak,Mechanical Failure,Bearing Failure,Unplanned,Misalignment,44.1,0.73,397.63,9.02,38,Industrial Parts,Resolved,1.01,Emergency
DT-101226,2023-07-31,2023,July,7,31,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Night (22:00-06:00),OP-1091,S. Kaczmarek,Preventive Maintenance,Calibration,Planned,Scheduled maintenance plan (TPM calendar),31.2,0.52,124.05,3.98,25,Packaging Materials,Resolved,0.72,Preventive
DT-101225,2023-07-31,2023,July,7,31,Plant D - Bratislava,Line 2,MC-1066,Press Machine,Night (22:00-06:00),OP-1066,N. Horvat,Software/PLC Error,PLC Program Fault,Unplanned,Configuration drift,30.0,0.5,239.84,7.99,27,Automotive Component,In Progress,0.41,Corrective
DT-101224,2023-07-31,2023,July,7,31,Plant C - Katowice,Line 3,MC-3041,Injection Molding,Morning (06:00-14:00),OP-1113,F. Rousseau,Mechanical Failure,Motor Burnout,Unplanned,Fatigue crack,144.7,2.41,1115.43,7.71,199,Medical Device,Resolved,2.61,Corrective
DT-101227,2023-07-31,2023,July,7,31,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Night (22:00-06:00),OP-1059,R. Nagy,Mechanical Failure,Gearbox Malfunction,Unplanned,Misalignment,99.1,1.65,752.74,7.6,51,Medical Device,Resolved,1.74,Corrective
DT-101232,2023-08-01,2023,August,8,31,Plant D - Bratislava,Line 1,MC-1874,Packaging Unit,Morning (06:00-14:00),OP-1173,M. Novak,Quality Inspection,In-Process Quality Hold,Planned,Dimensional deviation,66.4,1.11,198.7,2.99,62,Packaging Materials,Resolved,1.84,Preventive
DT-101233,2023-08-01,2023,August,8,31,Plant A - Stuttgart,Line 3,MC-5908,Press Machine,Night (22:00-06:00),OP-1070,P. Kowalski,Utility Failure,Water Supply Interruption,Unplanned,Compressor failure,105.9,1.77,1389.68,13.12,96,Consumer Electronics,In Progress,1.38,Corrective
DT-101234,2023-08-01,2023,August,8,31,Plant B - Lyon,Line 1,MC-1574,Painting Robot,Afternoon (14:00-22:00),OP-1171,M. Novak,Software/PLC Error,Firmware Crash,Unplanned,Network latency,69.1,1.15,348.9,5.05,46,Medical Device,Resolved,1.78,Corrective
DT-101235,2023-08-01,2023,August,8,31,Plant D - Bratislava,Line 1,MC-6667,Press Machine,Night (22:00-06:00),OP-1151,E. Wagner,Tooling Issue,Die Misalignment,Unplanned,Material hardness variance,129.7,2.16,1267.27,9.77,115,Medical Device,Resolved,3.72,Corrective
DT-101236,2023-08-01,2023,August,8,31,Plant A - Stuttgart,Line 3,MC-8033,Painting Robot,Afternoon (14:00-22:00),OP-1277,S. Kaczmarek,Mechanical Failure,Motor Burnout,Unplanned,Misalignment,103.2,1.72,1178.22,11.42,68,Industrial Parts,In Progress,1.03,Corrective
DT-101242,2023-08-02,2023,August,8,31,Plant C - Katowice,Line 1,MC-2751,Press Machine,Night (22:00-06:00),OP-1069,B. Klein,Electrical Failure,Wiring Short Circuit,Unplanned,Overheated component,150.4,2.51,1306.22,8.68,131,Automotive Component,Resolved,2.92,Emergency
DT-101244,2023-08-02,2023,August,8,31,Plant C - Katowice,Line 2,MC-5166,Robotic Welder,Afternoon (14:00-22:00),OP-1158,S. Kaczmarek,Software/PLC Error,Firmware Crash,Unplanned,Network latency,19.8,0.33,181.24,9.15,22,Industrial Parts,Resolved,0.37,Corrective
DT-101245,2023-08-02,2023,August,8,31,Plant D - Bratislava,Line 2,MC-2257,Packaging Unit,Afternoon (14:00-22:00),OP-1236,K. Varga,Tooling Issue,Die Misalignment,Unplanned,Material hardness variance,44.5,0.74,274.47,6.17,42,Consumer Electronics,In Progress,0.47,Corrective
DT-101241,2023-08-02,2023,August,8,31,Plant C - Katowice,Line 3,MC-5280,Packaging Unit,Night (22:00-06:00),OP-1153,L. Fischer,Tooling Issue,Mold Damage,Unplanned,Incorrect feed rate,38.6,0.64,142.45,3.69,43,Consumer Electronics,Resolved,1.12,Corrective
DT-101243,2023-08-02,2023,August,8,31,Plant C - Katowice,Line 1,MC-2751,Press Machine,Morning (06:00-14:00),OP-1309,A. Schmidt,Software/PLC Error,PLC Program Fault,Unplanned,Software bug,20.9,0.35,189.69,9.08,18,Packaging Materials,In Progress,0.29,Corrective
DT-101239,2023-08-02,2023,August,8,31,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Morning (06:00-14:00),OP-1027,P. Kowalski,Quality Inspection,Calibration Check,Planned,Random audit,29.6,0.49,250.52,8.46,45,Consumer Electronics,Resolved,0.73,Preventive
DT-101238,2023-08-02,2023,August,8,31,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Afternoon (14:00-22:00),OP-1113,B. Klein,Mechanical Failure,Hydraulic Leak,Unplanned,Misalignment,224.0,3.73,2614.91,11.67,360,Packaging Materials,In Progress,3.11,Corrective
DT-101237,2023-08-02,2023,August,8,31,Plant A - Stuttgart,Line 2,MC-8073,Packaging Unit,Morning (06:00-14:00),OP-1007,N. Horvat,Operator Error,Manual Stop,Unplanned,Inadequate training,56.0,0.93,416.64,7.44,65,Medical Device,Resolved,1.41,N/A
DT-101240,2023-08-02,2023,August,8,31,Plant B - Lyon,Line 1,MC-1574,Painting Robot,Afternoon (14:00-22:00),OP-1328,B. Klein,Changeover,Recipe Changeover,Planned,Scheduled production changeover,30.7,0.51,246.03,8.01,22,Medical Device,Resolved,0.59,N/A
DT-101246,2023-08-03,2023,August,8,31,Plant B - Lyon,Line 1,MC-8447,Press Machine,Afternoon (14:00-22:00),OP-1287,M. Novak,Tooling Issue,Mold Damage,Unplanned,Material hardness variance,32.9,0.55,445.91,13.55,26,Consumer Electronics,Pending,,Corrective
DT-101247,2023-08-03,2023,August,8,31,Plant D - Bratislava,Line 2,MC-3594,Painting Robot,Night (22:00-06:00),OP-1110,J. Dubois,Utility Failure,Power Outage,Unplanned,Compressor failure,66.1,1.1,428.6,6.48,45,Packaging Materials,Resolved,1.24,Corrective
DT-101248,2023-08-03,2023,August,8,31,Plant C - Katowice,Line 3,MC-5280,Packaging Unit,Night (22:00-06:00),OP-1133,P. Kowalski,Software/PLC Error,Firmware Crash,Unplanned,Configuration drift,145.8,2.43,951.75,6.53,151,Automotive Component,Resolved,4.07,Corrective
DT-101249,2023-08-03,2023,August,8,31,Plant B - Lyon,Line 1,MC-1574,Painting Robot,Morning (06:00-14:00),OP-1259,D. Muller,Mechanical Failure,Bearing Failure,Unplanned,Component wear beyond tolerance,88.4,1.47,462.33,5.23,66,Packaging Materials,Pending,,Emergency
DT-101250,2023-08-03,2023,August,8,31,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Night (22:00-06:00),OP-1031,T. Weber,Mechanical Failure,Motor Burnout,Unplanned,Component wear beyond tolerance,147.4,2.46,1015.9,6.89,127,Packaging Materials,Resolved,4.2,Corrective
DT-101251,2023-08-04,2023,August,8,31,Plant C - Katowice,Line 1,MC-2388,Assembly Robot,Afternoon (14:00-22:00),OP-1104,A. Schmidt,Tooling Issue,Die Misalignment,Unplanned,Incorrect feed rate,159.5,2.66,3045.56,19.09,119,Packaging Materials,Resolved,3.78,Corrective
DT-101252,2023-08-04,2023,August,8,31,Plant C - Katowice,Line 1,MC-7146,Packaging Unit,Night (22:00-06:00),OP-1107,F. Rousseau,Mechanical Failure,Gearbox Malfunction,Unplanned,Fatigue crack,250.7,4.18,1187.34,4.74,296,Automotive Component,Resolved,4.98,Corrective
DT-101253,2023-08-04,2023,August,8,31,Plant B - Lyon,Line 1,MC-5990,CNC Machine,Afternoon (14:00-22:00),OP-1343,L. Fischer,Material Shortage,Supplier Late Delivery,Unplanned,Supplier logistics delay,28.5,0.47,350.52,12.3,19,Industrial Parts,Pending,,N/A
DT-101259,2023-08-05,2023,August,8,31,Plant B - Lyon,Line 2,MC-5010,Painting Robot,Night (22:00-06:00),OP-1331,K. Varga,Software/PLC Error,PLC Program Fault,Unplanned,Unhandled exception,32.6,0.54,296.92,9.11,22,Packaging Materials,Resolved,0.95,Corrective
DT-101258,2023-08-05,2023,August,8,31,Plant A - Stuttgart,Line 3,MC-5053,Conveyor System,Morning (06:00-14:00),OP-1051,S. Kaczmarek,Mechanical Failure,Gearbox Malfunction,Unplanned,Fatigue crack,224.1,3.73,1957.83,8.74,109,Packaging Materials,Resolved,4.96,Corrective
DT-101257,2023-08-05,2023,August,8,31,Plant C - Katowice,Line 3,MC-4933,Painting Robot,Night (22:00-06:00),OP-1007,H. Zajac,Quality Inspection,In-Process Quality Hold,Planned,Customer complaint follow-up,76.1,1.27,506.52,6.66,42,Medical Device,In Progress,0.97,Preventive
DT-101255,2023-08-05,2023,August,8,31,Plant C - Katowice,Line 2,MC-4697,Painting Robot,Night (22:00-06:00),OP-1359,F. Rousseau,Electrical Failure,Control Panel Fault,Unplanned,Overheated component,135.9,2.27,1549.1,11.4,73,Industrial Parts,Resolved,3.7,Emergency
DT-101254,2023-08-05,2023,August,8,31,Plant D - Bratislava,Line 2,MC-4486,Press Machine,Afternoon (14:00-22:00),OP-1322,S. Kaczmarek,Electrical Failure,Control Panel Fault,Unplanned,Voltage spike,147.3,2.46,1840.0,12.49,133,Automotive Component,Pending,,Emergency
DT-101256,2023-08-05,2023,August,8,31,Plant B - Lyon,Line 2,MC-7304,Press Machine,Morning (06:00-14:00),OP-1314,P. Kowalski,Electrical Failure,Power Supply Failure,Unplanned,Corroded contact,143.5,2.39,1684.29,11.74,99,Medical Device,Resolved,2.69,Corrective
DT-101260,2023-08-06,2023,August,8,31,Plant A - Stuttgart,Line 2,MC-9779,Assembly Robot,Afternoon (14:00-22:00),OP-1260,P. Kowalski,Changeover,Recipe Changeover,Planned,Scheduled production changeover,54.8,0.91,300.52,5.48,42,Automotive Component,Pending,,N/A
DT-101261,2023-08-06,2023,August,8,31,Plant C - Katowice,Line 2,MC-8160,Conveyor System,Morning (06:00-14:00),OP-1156,S. Kaczmarek,Mechanical Failure,Bearing Failure,Unplanned,Lubrication failure,28.7,0.48,157.44,5.49,13,Automotive Component,Resolved,0.85,Corrective
DT-101262,2023-08-06,2023,August,8,31,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Afternoon (14:00-22:00),OP-1016,N. Horvat,Preventive Maintenance,Filter Replacement,Planned,Scheduled maintenance plan (TPM calendar),126.2,2.1,1130.98,8.96,84,Industrial Parts,Resolved,3.77,Predictive
DT-101263,2023-08-07,2023,August,8,32,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Afternoon (14:00-22:00),OP-1288,H. Zajac,Software/PLC Error,HMI Communication Loss,Unplanned,Unhandled exception,79.9,1.33,677.03,8.47,98,Consumer Electronics,Resolved,2.27,Corrective
DT-101264,2023-08-07,2023,August,8,32,Plant C - Katowice,Line 2,MC-1687,Injection Molding,Afternoon (14:00-22:00),OP-1189,K. Varga,Tooling Issue,Tool Wear,Unplanned,Incorrect feed rate,158.7,2.65,1636.27,10.31,237,Medical Device,Pending,,Corrective
DT-101265,2023-08-07,2023,August,8,32,Plant C - Katowice,Line 1,MC-1394,Conveyor System,Morning (06:00-14:00),OP-1173,M. Novak,Quality Inspection,In-Process Quality Hold,Planned,Random audit,96.2,1.6,602.55,6.26,52,Packaging Materials,In Progress,1.11,Preventive
DT-101266,2023-08-07,2023,August,8,32,Plant C - Katowice,Line 1,MC-2388,Assembly Robot,Morning (06:00-14:00),OP-1127,T. Weber,Preventive Maintenance,Filter Replacement,Planned,Scheduled maintenance plan (TPM calendar),173.4,2.89,885.85,5.11,144,Consumer Electronics,Resolved,3.09,Preventive
DT-101267,2023-08-07,2023,August,8,32,Plant B - Lyon,Line 2,MC-1611,Injection Molding,Morning (06:00-14:00),OP-1340,S. Kaczmarek,Tooling Issue,Tool Wear,Unplanned,Exceeded tool life,31.2,0.52,283.87,9.1,38,Medical Device,Resolved,0.67,Corrective
DT-101268,2023-08-07,2023,August,8,32,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Night (22:00-06:00),OP-1361,D. Muller,Tooling Issue,Mold Damage,Unplanned,Material hardness variance,150.6,2.51,1982.68,13.17,181,Consumer Electronics,Pending,,Corrective
DT-101269,2023-08-07,2023,August,8,32,Plant B - Lyon,Line 2,MC-1611,Injection Molding,Morning (06:00-14:00),OP-1301,B. Klein,Tooling Issue,Die Misalignment,Unplanned,Material hardness variance,108.9,1.82,825.66,7.58,150,Packaging Materials,Resolved,2.55,Corrective
DT-101270,2023-08-07,2023,August,8,32,Plant D - Bratislava,Line 1,MC-4916,Press Machine,Afternoon (14:00-22:00),OP-1244,M. Novak,Tooling Issue,Mold Damage,Unplanned,Material hardness variance,122.5,2.04,559.29,4.57,116,Medical Device,In Progress,1.78,Corrective
DT-101275,2023-08-08,2023,August,8,32,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Morning (06:00-14:00),OP-1007,M. Novak,Quality Inspection,Non-Conformance Review,Planned,Customer complaint follow-up,50.3,0.84,383.85,7.63,85,Packaging Materials,Pending,,Preventive
DT-101274,2023-08-08,2023,August,8,32,Plant C - Katowice,Line 1,MC-5200,Injection Molding,Afternoon (14:00-22:00),OP-1072,T. Weber,Preventive Maintenance,Scheduled Lubrication,Planned,Scheduled maintenance plan (TPM calendar),215.7,3.59,1755.8,8.14,293,Medical Device,Pending,,Predictive
DT-101276,2023-08-08,2023,August,8,32,Plant A - Stuttgart,Line 1,MC-1773,Press Machine,Afternoon (14:00-22:00),OP-1016,T. Weber,Utility Failure,Water Supply Interruption,Unplanned,Grid instability,204.3,3.41,3068.99,15.02,169,Packaging Materials,Resolved,5.2,Corrective
DT-101272,2023-08-08,2023,August,8,32,Plant C - Katowice,Line 3,MC-4933,Painting Robot,Night (22:00-06:00),OP-1196,S. Kaczmarek,Mechanical Failure,Hydraulic Leak,Unplanned,Lubrication failure,27.7,0.46,276.85,9.99,19,Packaging Materials,Resolved,0.64,Emergency
DT-101271,2023-08-08,2023,August,8,32,Plant B - Lyon,Line 2,MC-5010,Painting Robot,Morning (06:00-14:00),OP-1279,F. Rousseau,Software/PLC Error,SCADA Timeout,Unplanned,Software bug,24.6,0.41,168.18,6.84,18,Medical Device,Resolved,0.61,Corrective
DT-101273,2023-08-08,2023,August,8,32,Plant C - Katowice,Line 2,MC-9148,Injection Molding,Morning (06:00-14:00),OP-1249,M. Novak,Mechanical Failure,Motor Burnout,Unplanned,Fatigue crack,103.3,1.72,1613.59,15.62,176,Consumer Electronics,In Progress,1.02,Emergency
DT-101277,2023-08-09,2023,August,8,32,Plant D - Bratislava,Line 1,MC-7909,Injection Molding,Night (22:00-06:00),OP-1199,S. Kaczmarek,Mechanical Failure,Belt Breakage,Unplanned,Misalignment,149.4,2.49,1587.0,10.62,211,Consumer Electronics,Pending,,Corrective
DT-101278,2023-08-09,2023,August,8,32,Plant D - Bratislava,Line 2,MC-4486,Press Machine,Morning (06:00-14:00),OP-1300,M. Novak,Electrical Failure,Sensor Fault,Unplanned,Overheated component,123.3,2.06,1008.77,8.18,118,Automotive Component,Resolved,3.38,Corrective
DT-101284,2023-08-10,2023,August,8,32,Plant C - Katowice,Line 1,MC-2751,Press Machine,Morning (06:00-14:00),OP-1288,S. Kaczmarek,Software/PLC Error,SCADA Timeout,Unplanned,Unhandled exception,47.1,0.79,728.32,15.46,42,Automotive Component,Resolved,1.41,Corrective
DT-101283,2023-08-10,2023,August,8,32,Plant C - Katowice,Line 1,MC-7702,Painting Robot,Afternoon (14:00-22:00),OP-1324,P. Kowalski,Tooling Issue,Die Misalignment,Unplanned,Incorrect feed rate,85.3,1.42,798.87,9.37,57,Industrial Parts,Pending,,Corrective
DT-101282,2023-08-10,2023,August,8,32,Plant A - Stuttgart,Line 3,MC-5053,Conveyor System,Night (22:00-06:00),OP-1151,N. Horvat,Mechanical Failure,Motor Burnout,Unplanned,Component wear beyond tolerance,219.4,3.66,1505.39,6.86,101,Medical Device,In Progress,2.71,Corrective
DT-101280,2023-08-10,2023,August,8,32,Plant A - Stuttgart,Line 3,MC-5053,Conveyor System,Morning (06:00-14:00),OP-1105,M. Novak,Preventive Maintenance,Scheduled Lubrication,Planned,Scheduled maintenance plan (TPM calendar),148.9,2.48,928.13,6.23,61,Medical Device,Resolved,3.68,Preventive
DT-101279,2023-08-10,2023,August,8,32,Plant A - Stuttgart,Line 2,MC-2152,Assembly Robot,Afternoon (14:00-22:00),OP-1377,P. Kowalski,Changeover,Recipe Changeover,Planned,Scheduled production changeover,72.0,1.2,522.94,7.26,64,Medical Device,Resolved,1.37,N/A
DT-101281,2023-08-10,2023,August,8,32,Plant B - Lyon,Line 2,MC-5010,Painting Robot,Morning (06:00-14:00),OP-1073,S. Kaczmarek,Material Shortage,Supplier Late Delivery,Unplanned,Inventory planning gap,242.5,4.04,2746.14,11.32,185,Automotive Component,Resolved,4.42,N/A
